Time,Boat,Trip,Lat,Lng,Speed (M/S),Range (Meters),Heading,Boat Name,Community
2018-04-05 01:55:51,2788,,-3.40562,10.66027,0.01,,104.06,Pelagic 392865 1,
2018-04-05 02:01:35,2788,,-3.40563,10.66027,0,,270,Pelagic 392865 1,
2018-04-05 02:04:04,2785,,-3.40529,10.66038,0.01,,270,Pelagic 397542,
2018-04-05 02:07:25,2788,,-3.40564,10.66025,0.01,,243.39,Pelagic 392865 1,
2018-04-05 02:09:46,2785,,-3.40525,10.66031,0.03,,299.79,Pelagic 397542,
2018-04-05 02:18:54,2788,,-3.40566,10.66018,0.01,,236.26,Pelagic 392865 1,
2018-04-05 02:21:16,2785,,-3.40524,10.66039,0.01,,78.67,Pelagic 397542,
2018-04-05 02:24:34,2788,,-3.40562,10.6602,0.01,,26.52,Pelagic 392865 1,
2018-04-05 02:27:00,2785,,-3.40518,10.66036,0.03,,341.6,Pelagic 397542,
2018-04-05 02:30:19,2788,,-3.4056,10.66027,0.02,,74.03,Pelagic 392865 1,
2018-04-05 02:36:05,2788,,-3.40566,10.66026,0.02,,189.45,Pelagic 392865 1,
2018-04-05 02:38:35,2785,,-3.40531,10.66034,0.02,,191.29,Pelagic 397542,
2018-04-05 02:41:48,2788,,-3.40565,10.66026,0.01,,270,Pelagic 392865 1,
2018-04-05 02:44:15,2785,,-3.40526,10.66034,0.02,,0,Pelagic 397542,
2018-04-05 02:47:37,2788,,-3.40569,10.66019,0.03,,248.16,Pelagic 392865 1,
2018-04-05 02:50:01,2785,,-3.40526,10.66037,0,,270,Pelagic 397542,
2018-04-05 02:53:18,2788,,-3.40566,10.66022,0.01,,0,Pelagic 392865 1,
2018-04-05 02:54:49,2786,,-3.40581,10.66022,0,,12.51,Pelagic 431929 1,
2018-04-05 02:55:46,2785,,-3.40521,10.66039,0.02,,21.77,Pelagic 397542,
2018-04-05 02:59:01,2788,,-3.40566,10.66022,0,,270,Pelagic 392865 1,
2018-04-05 03:04:48,2788,,-3.40565,10.66022,0.03,,224.95,Pelagic 392865 1,
2018-04-05 03:08:30,2787,301429,-3.37961,10.66648,,,,Pelagic 402813 1,
2018-04-05 03:10:30,2788,,-3.40569,10.66023,0.01,,165.99,Pelagic 392865 1,
2018-04-05 03:13:02,2785,,-3.4053,10.6604,0,,161.6,Pelagic 397542,
2018-04-05 03:18:46,2785,,-3.40533,10.6603,0.02,,233.08,Pelagic 397542,
2018-04-05 03:21:40,2784,,-3.40571,10.66031,0,,270,Pelagic 407077,
2018-04-05 03:21:59,2788,,-3.40566,10.66024,0,,90,Pelagic 392865 1,
2018-04-05 03:24:34,2785,,-3.40527,10.66028,0.03,,320.24,Pelagic 397542,
2018-04-05 03:24:46,2787,301429,-3.37968,10.6666,0.02,,135.05,Pelagic 402813 1,
2018-04-05 03:27:20,2784,,-3.40582,10.6602,0.04,,224.95,Pelagic 407077,
2018-04-05 03:27:45,2788,,-3.40562,10.6603,0.02,,108.47,Pelagic 392865 1,
2018-04-05 03:30:14,2785,,-3.40526,10.66024,0.01,,284.06,Pelagic 397542,
2018-04-05 03:30:31,2787,301429,-3.37967,10.66658,0.01,,296.6,Pelagic 402813 1,
2018-04-05 03:35:58,2785,,-3.40526,10.66035,0.02,,90,Pelagic 397542,
2018-04-05 03:39:11,2788,,-3.40566,10.66027,0.01,,90,Pelagic 392865 1,
2018-04-05 03:41:46,2785,,-3.40526,10.66037,0.02,,63.39,Pelagic 397542,
2018-04-05 03:44:30,2784,,-3.4058,10.6602,0,,0,Pelagic 407077,
2018-04-05 03:44:58,2788,,-3.40568,10.66019,0.03,,255.94,Pelagic 392865 1,
2018-04-05 03:50:16,2784,,-3.40575,10.66021,0.02,,338.23,Pelagic 407077,
2018-04-05 03:50:42,2788,,-3.40568,10.66014,0.02,,270,Pelagic 392865 1,
2018-04-05 03:53:00,2782,,-3.40581,10.66021,0,,153.48,Pelagic 418835,
2018-04-05 03:55:59,2784,,-3.40579,10.66017,0.02,,224.95,Pelagic 407077,
2018-04-05 03:56:23,2788,,-3.40581,10.6601,0.04,,197.07,Pelagic 392865 1,
2018-04-05 04:02:06,2788,,-3.40566,10.66017,0.02,,270,Pelagic 392865 1,
2018-04-05 04:13:13,2784,,-3.40577,10.66025,0,,224.95,Pelagic 407077,
2018-04-05 04:18:58,2784,,-3.40577,10.66028,0,,270,Pelagic 407077,
2018-04-05 04:24:43,2784,,-3.40576,10.66031,0.02,,36.82,Pelagic 407077,
2018-04-05 04:28:50,2787,301429,-3.3798,10.66656,0,,188.73,Pelagic 402813 1,
2018-04-05 04:29:30,2785,,-3.4052,10.66029,0,,311.24,Pelagic 397542,
2018-04-05 04:30:28,2784,,-3.40577,10.66026,0.01,,315.05,Pelagic 407077,
2018-04-05 04:30:51,2788,,-3.40557,10.66024,0,,0,Pelagic 392865 1,
2018-04-05 04:36:13,2784,,-3.40577,10.66023,0.01,,270,Pelagic 407077,
2018-04-05 04:42:25,2788,,-3.40566,10.66023,0.01,,189.45,Pelagic 392865 1,
2018-04-05 04:45:35,2787,301429,-3.37977,10.66666,0.01,,105.97,Pelagic 402813 1,
2018-04-05 04:47:43,2784,,-3.40577,10.66025,0,,90,Pelagic 407077,
2018-04-05 04:51:21,2787,301429,-3.37971,10.66659,0.03,,310.65,Pelagic 402813 1,
2018-04-05 04:53:28,2784,,-3.40583,10.66028,0.02,,153.48,Pelagic 407077,
2018-04-05 04:53:49,2788,,-3.4056,10.66023,0,,0,Pelagic 392865 1,
2018-04-05 05:02:22,2787,301429,-3.37964,10.6668,0.04,,64.5,Pelagic 402813 1,
2018-04-05 05:02:39,2785,301464,-3.40515,10.66089,0.03,,83.87,Pelagic 397542,
2018-04-05 05:04:29,2785,301464,-3.40072,10.66214,8.03,,21.37,Pelagic 397542,
2018-04-05 05:06:10,2785,301464,-3.39349,10.66467,9.86,,15.23,Pelagic 397542,
2018-04-05 05:07:57,2785,301464,-3.3855,10.66631,7.86,,8.12,Pelagic 397542,
2018-04-05 05:08:07,2787,301429,-3.3872,10.66653,2.44,,182.04,Pelagic 402813 1,
2018-04-05 05:09:38,2785,301464,-3.38194,10.66133,10.68,,275.97,Pelagic 397542,
2018-04-05 05:09:53,2787,301429,-3.39673,10.66495,10.28,,189.32,Pelagic 402813 1,
2018-04-05 05:11:01,2788,,-3.40557,10.66021,0,,270,Pelagic 392865 1,
2018-04-05 05:11:18,2785,301464,-3.38659,10.65575,8.01,,213.64,Pelagic 397542,
2018-04-05 05:11:38,2787,301429,-3.40626,10.66352,10.02,,196.9,Pelagic 402813 1,
2018-04-05 05:13:03,2785,301464,-3.39298,10.65112,11.68,,218.52,Pelagic 397542,
2018-04-05 05:13:18,2787,301429,-3.41523,10.66144,10.55,,198.4,Pelagic 402813 1,
2018-04-05 05:14:47,2785,301464,-3.39934,10.64651,9.56,,215.49,Pelagic 397542,
2018-04-05 05:15:01,2787,301429,-3.42404,10.65838,7.81,,198.4,Pelagic 402813 1,
2018-04-05 05:16:30,2785,301464,-3.4054,10.64186,6.48,,210.92,Pelagic 397542,
