Nom Pirogue	Immatriculation	Type de pirogue
Nazareth	L. 012/13	bois
Marie Laurence	L. 012/17	plastique
Motombi	L. 014/17	plastique
Oba Ni Jesu	L. 015/14	bois
Cathy	L. 015/17	bois
Akoua	L. 015/97	bois
Nengue Sika	L. 016/13	bois
Afoughe Blessing	L. 016/15	bois
Emergence	L. 016/16	bois
Nazareth 2	L. 017/16	bois
Anu Owula	L. 017/96	bois
Dieu Seul	L. 017/98	bois
Bekam	L. 018/05	bois
Sara 1	L. 018/14	plastique
La Martine 	L. 018/15	plastique
Merveille 1	L. 018/16	bois
Tristar 2	L. 019/05	bois
Moupouchou	L. 019/11	bois
Marimaxime	L. 019/14	plastique
Boudy 2	L. 019/15	plastique
Abla	L. 019/97	bois
Nkolovme	L. 020/14	bois
C'Est Le Temps	L. 020/16	bois
Avole Nzame	L. 021/17	bois
Laissez Les Dire	L. 022/02	bois
Shalom	L. 022/17	bois
Ogolowa 4	L. 023/01	bois
Duos 1	L. 023/99	bois
Maye Sur Mer Flo Flo 3	L. 024/12	bois
Dieu Est Bon	L. 024/15	bois
La Famille	L. 025/00	bois
Dieu Merci Dossa	L. 025/12	bois
Confiance	L. 026/00	bois
Efayong	L. 026/01	bois
Moussavou 1	L. 026/07	bois
Courage	L. 027/00	bois
Moussavou 2	L. 027/07	bois
Enos	L. 028/03	bois
Fekh Ndang	L. 028/12	bois
Bekale 9	L. 028/13	bois
Lucky	L. 029/05	bois
Etienne	L. 030/02	bois
Confort Love	L. 031/02	bois
Dieu Merci	L. 034/06	bois
Le Vieux	L. 035/00	bois
Fraternite 	L. 035/13	bois
Houkode	L. 035/92	bois
Yao	L. 036/01	bois
Deixa Falar	L. 043/06	plastique
Newton	L. 045/96	bois
Amoussougbo 	L. 047/94	bois
Igondjo Marie Georgette	L. 048/05	bois
Experience	L. 048/96	bois
Mandela	L. 053/85	bois
Dieu est Grand	L. 054/03	plastique
La Pepe	L. 060/13	plastique
Kiket 1	L. 061/03	bois
Rouge	L. 068/03	bois
La Bouenguidi	L. 073/03	bois
Iwaluwa	L. 079/00	bois
Ekwata 	L. 081/00	bois
Galetome	L. 081/97	bois
Grace 1	L. 082/00	bois
Grace 2	L. 083/00	bois
Kedji Canal	L. 084/99	bois
Brigitte	L. 088/99	bois
Clara	L. 090/00	bois
Entre Nous	L. 090/98	bois
Zion	L. 104/94	bois
Toyota	L. 120/00	bois
Koffi Maniana	L. 121/98	bois
Ipokap	L. 126/02	bois
Pigeon	L. 127/98	bois
Ola Oluwa	L. 128/96	bois
Papa 1	L. 128/99	bois
Oiseau	L. 129/02	bois
Agnin	L. 131/96	bois
Marie Lyse	L. 134/99	bois
Courage 2	L. 135/97	bois
Oluwa Seun 1	L. 137/99	bois
U.S.A	L. 143/00	bois
Gbetongnidan	L. 145/97	bois
Good Hope	L. 160/01	bois
Sogapa 30	L. 166/99	bois
Yvan	L. 173/89	plastique
Gamele	L. 179/98	bois
Dieu Est Bon	L. 196/02	bois
Abla Afko	L. 197/90	bois
Essongue	L. 198/90	bois
Courage 4	L. 199/02	bois
La Chance	L. 204/07	bois
On Dit Quoi	L. 205/04	bois
Ogooue Ivindo	L. 221/03	bois
Esperance De L'Avenir	L. 224/05	bois
Sogapa 27	L. 225/07	bois
Rebecca	L. 226/07	plastique
Dieudonne	L. 228/05	bois
Femi	L. 229/99	bois
La Paix	L. 233/05	bois
Toby	L. 236/03	bois
La Leconi 1	L. 237/03	bois
Fatihat	L. 238/07	bois
Dieu N'Oublie Personne	L. 240/07	plastique
Anna	L. 250/07	bois
Raphael	L. 255/99	bois
God Bless	L. 260/95	bois
Binpe	L. 262/99	bois
I Am The Alpha 1	L. 265/08	bois
Sogapa 32	L. 266/08	bois
Isabelle	L. 267/99	plastique
Bekale 3	L. 270/08	bois
Lewis 2	L. 272/08	bois
Patience 	L. 275/08	bois
Dieu Donne	L. 276/04	bois
Andrew	L. 280/99	bois
Oriyomi	L. 283/08	bois
Bebe 2	L. 307/02	bois
Happy 1	L. 309/02	bois
Felix	L. 309/08	bois
Eva	L. 311/02	plastique
Lady B	L. 317/08	bois
Grace À Dieu	L. 326/02	bois
Sto Bubunamawu	L. 326/09	bois
Toyin 	L. 333/02	bois
Ard-Bumbi	L. 334/09	bois
Maracana	L. 341/02	bois
Sogapa 19	L. 344/02	bois
Samuel	L. 345/09	bois
Enyonami	L. 346/09	bois
Dieu Est Grand	L. 387/10 	bois
Ami	L. 390/10	bois
Tare I	OW. 002/13	bois
Adp	OW. 002/14	bois
Tipolo 2	OW. 003/10	bois
Marie 	OW. 003/16	bois
Agir	OW. 005/13	bois
Mba Martine 4	OW. 005/16	bois
Ronaldo	OW. 006/01	plastique
Mercy City	OW. 006/08	bois
Toyin 2	OW. 006/13	bois
Keyinde 2	OW. 007/11	bois
Kiket 4	OW. 007/13	bois
Mara-Meny	OW. 009/14	bois
La Chance 1	OW. 009/16	bois
Merveille	OW. 010/09	bois
Cornelious	OW. 010/13	bois
La Gabonaise	OW. 010/14	bois
La Chance 2	OW. 010/16	bois
Bekale 1	OW. 011/08	bois
Prayer Is The Key 4	OW. 011/13	bois
Dieu Donne	OW. 011/14	bois
Bekale 25	OW. 012/08	bois
Prayer Is The Key 5	OW. 012/13	bois
Gniemdi	OW. 013/11	bois
God Is With Me 6	OW. 013/13	bois
Akossiwo	OW. 014/13	bois
Florent 1	OW. 016/16	plastique
Dieu Est La	OW. 018/14	bois
La Chance 3	OW. 018/16	bois
Foloba	OW. 019/07	bois
God Is My Witness 1	OW. 019/11	bois
Issanga	OW. 019/16	bois
Prayer Is The Key 1	OW. 020/07	bois
Transformation 	OW. 020/08	bois
Lumière Du Seigneur	OW. 020/11	bois
Prayer Is The Key 2	OW. 021/07	bois
Nicolas 1	OW. 021/13	bois
Owo	OW. 022/01	bois
Esaï	OW. 022/13	bois
Adp 9	OW. 022/14	bois
World Wide	OW. 023/02	bois
Emota	OW. 023/08	bois
La Grâce Divine	OW. 023/16	bois
Sese Daniel	OW. 024/01	bois
Ditas 	OW. 024/11	bois
Adp 2	OW. 024/14	bois
Chosen	OW. 025/11	bois
Adp3	OW. 025/14	bois
Malachie 2	OW. 026/16	bois
Ben	OW. 026/16	bois
Tassi	OW. 027/02	bois
Emmanuel 2	OW. 027/07	bois
Owode	OW. 027/13	bois
Adp 5	OW. 027/14	bois
Gaboma	OW. 027/16	bois
Adp 6	OW. 028/14	bois
Adp 7	OW. 029/14	bois
Atatou	OW. 030/02	bois
Bayissi	OW. 030/07	bois
Adp 8	OW. 031/14	bois
Avole Nzame Ayeme-Donguila	OW. 031/16	bois
Faith 1	OW. 032/13	bois
Sefoumi	OW. 033/07	bois
Adp 10	OW. 033/14	bois
Air Aloum	OW. 033/16	bois
Seeg 2	OW. 034/02	bois
Surulere 1	OW. 034/07	bois
Indurance 2	OW. 034/08	bois
Faith 3	OW. 034/13	bois
Rose Monde	OW. 035/16	bois
Alias 3	OW. 036/11	bois
Yes	OW. 036/13	bois
Merci Jesus	OW. 037/16	bois
Jolie 1	OW. 038/07	bois
Sogapa 2	OW. 039/07	bois
La Costa Esperanza	OW. 040/16	bois
Eliane 2	OW. 041/13	bois
